timestamp,ch1
1717509721.4719853,-25217.439260177525
1717509721.4759853,-25210.93490254103
1717509721.4799852,-25206.621015861158
1717509721.4839852,-25209.5490943848
1717509721.4879854,-25210.711385096478
1717509721.4919853,-25204.207027459983
1717509721.4959853,-25204.36348967117
1717509721.4999852,-25206.106925738684
1717509721.5039852,-25204.85522804919
1717509721.5079854,-25205.324614682748
1717509721.5119853,-25203.73764082642
1717509721.5159853,-25204.18467571553
1717509721.5199852,-25207.537437383824
1717509721.5239851,-25206.151629227596
1717509721.527985,-25207.55978912828
1717509721.5319853,-25200.206065202485
1717509721.5359852,-25199.93784426902
1717509721.5399852,-25201.79303905881
1717509721.5439851,-25206.822181561256
1717509721.5479853,-25209.7502600849
1717509721.5519853,-25215.51701015437
1717509721.5559852,-25222.42369919106
1717509721.5599852,-25234.963027830487
1717509721.563985,-25233.443109207525
1717509721.5679853,-25226.46936493747
1717509721.5719852,-25216.7016526105
1717509721.5759852,-25211.918379297065
1717509721.5799851,-25210.264350207373
1717509721.583985,-25216.589893888224
1717509721.5879853,-25219.674434623055
1717509721.5919852,-25215.539361898824
1717509721.5959852,-25212.164248486075
1717509721.5999851,-25211.493696152414
1717509721.603985,-25213.192428731018
1717509721.607985,-25209.638501362624
1717509721.6119852,-25213.527704897846
1717509721.6159852,-25217.148687499608
1717509721.619985,-25207.09040249472
1717509721.623985,-25205.883408294132
1717509721.6279852,-25212.544228141815
1717509721.6319852,-25217.774536344354
1717509721.6359851,-25215.807582832287
1717509721.639985,-25216.32167295476
1717509721.643985,-25213.46064966448
1717509721.6479852,-25214.779402587345
1717509721.6519852,-25213.393594431116
1717509721.655985,-25213.952388042497
1717509721.659985,-25213.393594431116
1717509721.663985,-25217.260446221884
1717509721.6679852,-25220.948484057008
1717509721.6719851,-25215.025271776354
1717509721.675985,-25208.587969373224
1717509721.679985,-25214.868809565167
1717509721.683985,-25224.36830095867
1717509721.687985,-25227.6540073936
1717509721.6919851,-25223.51893466937
1717509721.695985,-25220.166173001075
1717509721.699985,-25215.964045043474
1717509721.703985,-25210.063184507275
1717509721.7079852,-25210.152591485097
1717509721.711985,-25216.52283865486
1717509721.715985,-25217.662777622078
1717509721.719985,-25217.528667155348
1717509721.723985,-25225.37412945916
1717509721.7279851,-25221.46257417948
1717509721.731985,-25208.543265884313
1717509721.735985,-25216.768707843865
1717509721.739985,-25225.7541091149
1717509721.743985,-25232.99607431842
1717509721.7479851,-25226.37995795965
1717509721.751985,-25221.551981157303
1717509721.755985,-25220.36733870117
1717509721.759985,-25224.055376536297
1717509721.763985,-25227.206972504497
1717509721.7679849,-25231.654969651103
1717509721.771985,-25229.553905672303
1717509721.775985,-25227.519896926868
1717509721.779985,-25224.18948700303
1717509721.783985,-25226.067033537274
1717509721.787985,-25232.99607431842
1717509721.791985,-25222.51310616888
1717509721.795985,-25223.027196291354
1717509721.799985,-25224.904742825598
1717509721.8039849,-25225.217667247973
1717509721.807985,-25229.33038822775
1717509721.811985,-25224.010673047385
1717509721.815985,-25222.13312651314
1717509721.819985,-25220.456745678992
1717509721.8239849,-25223.89891432511
1717509721.827985,-25227.162269015585
1717509721.831985,-25224.345949214217
1717509721.835985,-25217.886295066633
1717509721.839985,-25216.52283865486
1717509721.8439848,-25222.13312651314
1717509721.8479848,-25226.84934459321
1717509721.851985,-25226.692882382024
1717509721.855985,-25220.79202184582
1717509721.8599849,-25218.6015508892
1717509721.8639848,-25218.579199144748
1717509721.867985,-25218.51214391138
1717509721.871985,-25217.19339098852
1717509721.875985,-25213.527704897846
1717509721.8799849,-25218.55684740029
1717509721.8839848,-25223.116603269173
1717509721.887985,-25225.217667247973
1717509721.891985,-25220.85907707919
1717509721.895985,-25217.215742732973
1717509721.8999848,-25217.103984010697
1717509721.9039848,-25219.94265555652
1717509721.907985,-25221.775498601855
1717509721.911985,-25219.383861945138
1717509721.9159849,-25219.78619334533
1717509721.9199848,-25218.109812511186
